camera_id;RESEX;Entorno;Comunidade;X;Y;ECO_NAME_m;Eco_reg;G200_REGIO;G200_REG_1
SJE-T1-C2-1900;Arapixi;não;S;-7558282.28;-987953.687;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T1-C3-2600;Arapixi;não;S;-7558368.22;-987256.647;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
SJE-T1-C4-3900;Arapixi;não;S;-7559158.81;-986185.539;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
SJE-T1-C5-5100;Arapixi;não;S;-7559078.55;-984834.512;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
SJE-T2-C1-650;Arapixi;não;Extrema;-7553975.55;-996654.658;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T2-C2-1420;Arapixi;não;Extrema;-7553551.1;-997362.719;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T2-C3-2250;Arapixi;não;Extrema;-7553252.53;-998192.619;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T2-C4-3700;Arapixi;não;Extrema;-7552844.55;-999619.112;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T2-C5-6070;Arapixi;não;Extrema;-7550983.29;-1001298.94;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T3-C1-1150;Arapixi;não;Extrema;-7553451.8;-996716.466;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T3-C2-1900;Arapixi;não;Extrema;-7552728.55;-997050.9;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T3-C3-2700;Arapixi;não;Extrema;-7552054.62;-997508.165;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T4-C1-450;Arapixi;não;Extrema;-7554984.89;-996227.292;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T4-C2-1070;Arapixi;não;Extrema;-7554850.08;-997382.99;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T4-C3-1930;Arapixi;não;Extrema;-7554748.11;-998178.4;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T4-C4-3250;Arapixi;não;Extrema;-7554403.02;-999603.1;Purus varzeá;PV;Amazon River and Flooded Forests;32
