camera_id;X;Y
5045;-7489955;-614537
5052;-7491436;-569013
5053;-7491662;-568372
5054;-7492321;-567059
5055;-7493451;-565281
5061;-7482706;-562100
5062;-7482989;-562012
5063;-7483592;-561734
5064;-7485269;-560697
5065;-7488127;-559604
5072;-7475773;-557706
5073;-7475760;-557061
5074;-7476575;-555128
5075;-7477742;-552385
5081;-7465790;-556464
5082;-7466022;-556313
5083;-7466516;-555849
5084;-7467845;-554407
5085;-7468759;-551354
5091;-7438801;-562950
5092;-7438607;-563191
5093;-7438130;-563689
5094;-7436116;-564192
5095;-7433106;-564698
5101;-7455998;-542638
5102;-7456262;-542583
5103;-7456774;-542094
5104;-7458192;-540568
7011;-6617109;-221147
7012;-6616946;-220942
7013;-6616680;-220701
7014;-6614844;-219293
7015;-6612460;-217479
7021;-6606564;-228340
7022;-6606494;-228057
7023;-6606369;-227401
7025;-6606228;-224214
7031;-6592704;-234595
7032;-6592829;-234346
7033;-6592988;-233686
7034;-6593483;-232323
7035;-6593490;-229691
7041;-6576225;-253289
7042;-6576146;-253572
7045;-6575421;-258738
7051;-6551973;-256363
7052;-6551738;-256400
7053;-6551199;-256562
7054;-6549660;-257585
7061;-6532168;-259421
7062;-6532103;-259743
7063;-6532147;-260399
7064;-6532441;-262363
7071;-6535969;-240054
7072;-6535779;-239835
7073;-6535258;-239374
7074;-6533864;-238073
7075;-6531113;-236623
7081;-6488421;-260249
7082;-6488495;-259955
7083;-6488644;-259332
7084;-6489094;-257378
7085;-6489898;-254496
7091;-6498085;-269011
7093;-6498119;-269968
7094;-6498071;-271953
7095;-6499059;-274864
7101;-6488971;-270686
7102;-6489240;-270728
7103;-6489886;-270813
7104;-6491404;-270894
7105;-6493414;-272862
7111;-6486158;-277000
7112;-6486486;-276978
7113;-6487122;-276889
7114;-6488295;-279103
7115;-6489294;-281810
8011;-6481333;-224701
8012;-6481602;-224785
8013;-6482122;-225210
8014;-6483713;-226445
8015;-6485893;-228487
8021;-6479756;-232949
8022;-6480013;-233081
8023;-6480585;-233407
8024;-6481442;-234755
8025;-6483438;-236023
8031;-6464957;-250489
8032;-6464792;-250207
8033;-6464492;-249651
8034;-6463329;-248021
8035;-6461716;-245492
8041;-6472871;-266343
8042;-6472656;-266579
8043;-6472141;-266955
8044;-6470984;-267892
8045;-6469666;-268978
8051;-6480578;-287714
8052;-6480904;-287771
8053;-6481433;-288144
8054;-6482584;-289130
8055;-6484097;-290476
8061;-6469737;-288977
8062;-6470009;-289104
8063;-6470271;-289772
8064;-6470934;-291652
8071;-6459340;-294674
8072;-6459639;-294497
8073;-6460276;-294621
8074;-6462299;-294889
8075;-6465259;-295166
8081;-6453020;-256790
8082;-6453058;-256481
8083;-6452607;-255875
8084;-6451982;-253996
8085;-6451946;-250928
8092;-6452200;-268760
8093;-6451697;-268354
8094;-6450332;-266926
8101;-6458812;-272247
8102;-6458949;-271997
8103;-6459029;-271310
8104;-6459373;-269336
6011;-7443988;-533278
6013;-7444561;-533247
6021;-7504288;-606263
6022;-7503998;-606304
6023;-7503545;-606845
6031;-7489671;-601157
6032;-7489468;-601363
6033;-7489801;-602329
6034;-7488881;-603108
6041;-7534277;-611480
